time,counter,text
7:27PM,GOLDETF   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE 
7:10PM,BIMB   ,"EMPLOYEES PROVIDENT FUND BOARD (1,000,000 units Acquired) "
7:07PM,MYETFID   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE 
7:06PM,METFSID   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE 
7:06PM,CIMBA40   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE 
7:06PM,MYETFDJ   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE 
7:05PM,METFAPA   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE 
7:05PM,CIMBC50   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE 
7:00PM,OSKVI   ,OTHERS 
7:00PM,LBS   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (268,300 units Acquired) "
6:55PM,BORNOIL   ,Nine-month net profit 11.713 million (decreased 68.07%) 
6:48PM,BIOHLDG   ,"HON TIAN KOK@WILLIAM (500,000 units Acquired) "
6:48PM,FBMKLCI-C1T   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:48PM,A50CHIN-C5   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:47PM,FBMKLCI-H2V   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:47PM,FBMKLCI-C1S   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:47PM,AIRASIAC50   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:46PM,MYEG-C14   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:46PM,BIOHLDG   ,"HON TIAN KOK @ WILLIAM (500,000 units Acquired) "
6:46PM,FBMKLCI-EA   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE 
6:46PM,MYEG-C13   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:45PM,DESTINI   ,TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) 
6:45PM,FBMKLCI-H2U   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:44PM,EWINT-CD   ,Expiry/Maturity of the securities 
6:44PM,EWINT-CC   ,Expiry/Maturity of the securities 
6:44PM,EWINT-CB   ,Expiry/Maturity of the securities 
6:44PM,APFT   ,OTHERS 
6:44PM,APFT   ,Appointment of AHMAD SAID BIN HAMDAN As Director 
6:44PM,EWINT-CA   ,Expiry/Maturity of the securities 
6:43PM,APFT   ,Change in Nomination Committee 
6:43PM,APFT   ,Resignation of TAN NYAP KEONG @ TONY TAN As Others 
6:43PM,APFT   ,Change in Nomination Committee 
6:43PM,APFT   ,Resignation of TAN NYAP KEONG @ TONY TAN As Director 
6:43PM,APFT   ,Appointment of AHMAD SAID BIN HAMDAN As Others 
6:35PM,AIRASIA   ,TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) 
6:31PM,HLFG   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) 
6:31PM,FGV   ,OTHERS 
6:31PM,TITIJYA   ,MULTIPLE PROPOSALS 
6:29PM,VSOLAR   ,Change in Nomination Committee 
6:29PM,VSOLAR   ,Resignation of KHOO CHEE SIANG As Others 
6:29PM,VSOLAR   ,Resignation of KHOO CHEE SIANG As Others 
6:28PM,VSOLAR   ,OTHERS 
6:28PM,AAX   ,Redesignation of ANTHONY FRANCIS FERNANDES As Others 
6:26PM,PPG   ,"SUM KOWN CHEEK (2,000 units Acquired) "
6:26PM,PPG   ,"LAI SWEE CHIUNG (2,000 units Acquired) "
6:26PM,PPG   ,"SUM KOWN CHEEK (2,000 units Acquired) "
6:23PM,MUH   ,General Meetings: Outcome of Meeting 
6:21PM,TGUAN-WA   ,"ANG POON SEONG (47,532 units Transferred) "
6:21PM,TGUAN   ,"ANG POON KHIM (88,104 units Transferred) "
6:21PM,TGUAN-LA   ,"ANG POON SEONG (95,062 units Transferred) "
6:21PM,TGUAN   ,"ANG POON SEONG (176,208 units Transferred) "
6:19PM,ECONBHD   ,"ONG POAY WAH@CHAN POAY WAH (900,000 units Transacted) "
6:19PM,ECONBHD   ,"ROSLI BIN MOHAMED NOR (187,500 units Transacted) "
6:18PM,KHIND   ,Tax Exempt Interim Dividend of 1 Sen 
6:18PM,ELSOFT   ,Appointment of AGATHA FOO TET SIN As Others 
6:18PM,KHIND   ,OTHERS 
6:17PM,AIRASIA   ,TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) 
6:17PM,ECONBHD   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) 
6:17PM,ECONBHD   ,"THE CHENG ENG (218,928,013 units Transacted) "
6:17PM,ECONBHD   ,"PANG SAR (175,200,007 units Transacted) "
6:17PM,ECONBHD   ,"KRISHNAN A/L C K MENON (150,000 units Transacted) "
6:17PM,ECONBHD   ,"PANG SAR (175,200,007 units Transacted) "
6:17PM,KINSTEL   ,OTHERS 
6:17PM,ECONBHD   ,"THE KUN ANN (150,000 units Transacted) "
6:17PM,ECONBHD   ,"THE CHENG ENG (218,928,013 units Transacted) "
6:16PM,ORIENT   ,"STANDARD LIFE ABERDEEN PLC AND ITS SUBSIDIARIES (1,254,000 units Disposed) "
6:16PM,ORIENT   ,"ABERDEEN ASSET MANAGEMENT ASIA LIMITED (208,400 units Disposed) "
6:16PM,TGUAN   ,"ANG POON CHUAN (88,104 units Transferred) "
