time,counter,text,clean,sentiment,polarity
8:02AM,  ,Forbid of Direct Business Transaction (DBT) Due to Rule 10.10(1) ,Forbid Direct Business Transaction Rule,"Sentiment(polarity=0.1, subjectivity=0.4)",1
6:48PM,A50CHIN-C5   ,STRUCTURED WARRANTS ANNOUNCEMENT ,STRUCTURED WARRANTS ANNOUNCEMENT,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:13PM,A50CHIN-C8   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:13PM,A50CHIN-C9   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:13PM,A50CHIN-H3   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:13PM,A50CHIN-H4   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:28PM,AAX   ,Redesignation of ANTHONY FRANCIS FERNANDES As Others ,Redesignation ANTHONY FRANCIS FERNANDES Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:59PM,AAX-C8   ,STRUCTURED WARRANTS ANNOUNCEMENT ,STRUCTURED WARRANTS ANNOUNCEMENT,"Sentiment(polarity=0.0, subjectivity=0.0)",0
9:07AM,ABFMY1   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE ,ASSET VALUE INDICATIVE OPTIMUM PORTFOLIO VALUE,"Sentiment(polarity=0.7, subjectivity=0.9)",1
6:07PM,ABMB   ,OTHERS ,OTHERS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:07PM,ABMB   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) ,DEALINGS LISTED SECURITIES CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
12:49PM,ADVCON   ,LETTER OF AWARD (LOA) ,LETTER AWARD,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:33PM,ADVENTA   ,Financial year end net profit 0.140 million (decreased 79.53%) ,Financial year profit million decreased,"Sentiment(polarity=-0.2, subjectivity=0.35)",-1
6:35PM,AIRASIA   ,TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) ,TRANSACTIONS CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
